0,1,2,3,4,5,6,7,8,9,10
110,220,-250,880,-390,250,120,-100,-20,-40,100
0,-28,28,910,-650,-160,180,-120,960,-140,230
0,110,0,710,-50,-90,-20,70,30,20,-130
16,13,-26,1039,810,-20,50,70,80,-330,170
-10,-38,11,1117,-120,-80,-880,-10,850,70,370
0,-72,19,1123,-20,-150,350,-90,-90,-120,190
-80,200,-190,1020,60,-280,120,90,0,-100,90
10,30,-10,1210,40,-340,230,-170,340,-270,190
-40,-20,70,710,-320,370,30,60,-20,-110,120
-17,17,-19,1199,-20,-220,220,-80,80,-130,110
10,0,-27,207,970,-200,90,140,-30,-210,170
-44,8,-5,1191,70,-160,150,-160,-70,190,-10
-12,-5,67,970,-650,550,120,170,-40,10,-130
7,3,-3,1321,-1741,1441,100,50,90,-200,140
20,-13,-15,1158,-110,-140,240,-110,40,20,100
-13,13,12,1188,60,-310,-30,160,-150,20,30
22,12,-39,1049,-950,860,150,-40,-70,-80,180
-14,0,14,1174,170,-310,160,-100,-20,40,50
-20,0,80,820,120,-150,80,0,0,80,-130
70,70,-90,980,150,-240,-790,830,-10,-70,100
5,6,-23,1232,210,-390,250,-120,-110,50,150
0,0,-42,1142,-110,-100,140,0,30,0,20
-36,-13,-6,1133,150,-120,200,-60,-710,-100,850
60,-150,-30,1100,110,-330,340,140,-1140,110,30
22,-224,70,11,220,-59,7,283,161,-37,158
-11,-7,-4,30,16,-1,-36,21,30,-20,4
0,0,0,0,3,-3,0,1,0,-1,-1
0,0,-1,-1,1,0,-1,0,2,0,0
-5,-2,5,41,4,-16,-14,12,11,-15,-14
-27,-14,10,28,61,-24,-23,82,18,193,-269
-30,-15,9,32,77,12,-34,75,-27,15,-45
-22,-6,-6,69,195,-42,-50,136,-51,129,-274
-38,-17,13,51,152,-17,-66,168,136,-227,-119
-49,-1,9,56,187,-44,-65,127,111,-101,-195
-18,-14,8,51,203,-23,-65,144,126,-69,-274
-13,-19,3,119,130,-21,-54,162,-134,-94,-24
-18,-15,13,23,91,9,-48,68,9,182,-343
-22,-4,-3,35,284,-252,8,73,6,189,-246
-32,-10,21,76,168,-60,-55,142,103,-85,-200
-21,-19,14,57,177,-35,-59,148,177,-346,-25
-31,-2,12,57,208,-46,-69,212,110,-104,-196
-37,-18,28,51,199,-38,-57,116,157,78,-322
-33,-12,16,30,217,165,-237,108,168,-102,-263
-26,-5,10,40,351,-281,8,282,-230,-95,-12
-34,-6,7,23,84,7,-44,93,-42,88,-112
-12,-29,20,38,203,-53,-67,384,-185,-113,-140
-27,0,15,55,217,-85,-61,143,-42,-122,-61
-20,-2,2,61,191,-49,-73,105,-22,-69,-33
-20,-3,15,47,187,-71,-31,122,-59,-91,-33
-24,-9,17,43,123,29,-85,96,-21,-61,-67
-19,-5,9,13,86,245,-250,342,-269,-42,-41
-28,1,14,21,300,-242,4,189,-151,-50,-6
-13,-9,13,41,123,-7,-90,152,-84,-63,-15
-25,2,21,40,119,-24,-70,135,216,-238,-95
-8,-17,28,43,126,-7,-59,129,76,-209,-42
-15,1,19,48,122,-4,-72,217,-72,-11,-177
-22,-6,21,42,143,5,-94,221,-95,17,-183
-21,1,9,10,318,-271,1,351,-209,-76,-49
-17,-8,13,13,72,-7,-37,78,124,-128,-63
-14,-17,9,71,126,-1,-74,120,-37,-62,-58
-3,-1,9,5,1,-7,2,0,-2,-5,-2
-49,-14,5,245,32,77,-208,108,73,-108,218
-47,13,-10,300,102,-5,-218,-155,85,-10,-20
-40,-3,34,312,-62,62,-137,1,213,102,-330
-120,-44,63,9,173,66,-270,292,43,-252,-51
-58,-10,11,395,-121,-6,-152,105,130,-119,-56
-156,-10,24,58,343,-38,-215,138,271,-231,63
-57,-10,19,206,170,89,-113,-119,191,-229,-12
-209,-5,32,45,249,141,-31,-82,241,-130,-305
-99,-10,24,265,70,60,141,-318,164,-218,-94
-124,-2,21,86,165,8,34,-24,122,200,-208
-44,-13,22,339,-51,-33,10,-37,151,-136,275
-146,-9,108,93,76,124,-76,-41,173,-105,-169
-62,14,-13,153,-80,259,-205,129,145,-76,151
-75,-7,19,101,23,61,61,-54,-10,10,19
-93,-7,29,40,57,281,-189,-65,365,-287,126
-80,-68,36,158,-149,438,-23,-352,259,-241,-70
-108,17,-6,160,140,102,-160,221,-34,-193,39
-135,-7,2,244,79,122,-149,-153,75,408,-483
-18,-11,7,163,-11,475,-428,60,-25,30,273
-58,-1,-10,165,210,-104,-127,72,176,-191,-76
-44,-14,13,257,-50,213,-125,135,13,-189,157
-32,-12,9,190,-65,250,-244,-10,158,285,-470
-16,3,8,387,-137,76,-96,-54,156,6,-220
-98,-10,9,107,102,36,-3,-33,-83,-20,44
-6,4,-9,109,94,65,-68,14,16,109,-143
-9,-27,21,15,114,21,1,-30,120,-34,-192
-14,-6,5,101,51,122,-121,-36,300,-211,18
-29,-22,16,95,42,21,-89,-17,22,239,-184
-14,-14,11,145,75,39,-4,-14,28,84,-114
-14,-12,31,55,65,84,-49,-151,138,-30,71
-3,-10,13,51,128,60,-50,-28,361,-104,-187
-396,147,214,984,4,223,-504,19,947,-177,-349
-97,-40,-2,354,1099,-40,-30,160,10,-640,-617
-77,-88,-14,443,1115,0,-100,150,-120,-350,-836
-64,-51,-10,393,1060,-10,-140,160,-50,-480,-675
-113,-8,-44,516,1138,-330,90,140,30,-640,-659
-98,-93,39,231,460,-120,300,620,-50,-520,-686
-72,-49,-9,543,830,60,50,110,-110,70,-1198
-71,-88,34,459,1161,-230,50,180,0,-650,-688
-102,-44,-19,531,1090,-110,20,60,0,-650,-746
-77,-66,12,447,1490,-450,-80,90,0,-540,-686
-106,-49,18,482,1088,-210,-50,90,0,-380,-765
-114,-53,-14,382,1144,-80,-140,230,-10,-310,-901
-124,-60,-6,399,1195,-110,-50,110,-70,-490,-755
-91,-98,32,387,1335,-280,-40,30,20,-180,-1003
-89,7,-20,433,1092,-110,-100,220,-120,-420,-768
-43,-40,45,407,1382,-270,-30,130,30,-680,-750
-68,-12,42,438,1298,-280,-10,90,-20,-570,-790
